Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,Points on next possession
4,17,41,36,3,8:12,14.35,-21,0
4,5,-46,39,4,11:25,14.42,-28,0
4,9,-33,42,1,2:19,7.03,-4,0
4,8,-40,41,3,13:02,21.13,-8,0
4,1,-17,37,4,14:30,28.2,-8,-3
4,15,-38,37,4,2:05,31.26,-5,0
4,8,-38,50,1,12:56,0,0,0
4,16,-29,41,3,6:17,21.1,11,0
4,7,-42,38,3,3:07,21.1,11,0
4,20,-15,38,4,13:36,21.1,11,0
4,20,-27,44,1,10:35,0,0,-3
4,8,-19,47,2,15:00,7.03,4,0
4,1,-39,51,2,8:12,7.03,4,0
4,10,-41,41,2,6:31,7.03,4,0
4,5,-43,44,2,3:53,7.03,4,0
4,10,-42,46,2,1:17,7.03,4,0
4,9,-31,41,3,5:20,14.03,11,0
4,6,50,50,4,14:55,14.03,11,-3
4,4,-49,29,3,12:09,29,-29,0
